A Rolling Ball of Death	Rolling Death	"{""key"": 2791, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Apprentice Negator's Magic Resistance	"{""key"": 4851, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Journeyman Negator's Magic Resistance	"{""key"": 4852, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Master Negator's Magic Resistance	"{""key"": 4853, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Novice Guardian's Invulnerability	"{""key"": 4858, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Apprentice Guardian's Invulnerability	"{""key"": 4859, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Journeyman Guardian's Invulnerability	"{""key"": 4860, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Master Guardian's Invulnerability	"{""key"": 4861, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Novice Wayfarer's Impregnability	"{""key"": 4862, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Apprentice Wayfarer's Impregnability	"{""key"": 4863, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Journeyman Wayfarer's Impregnability	"{""key"": 4864, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Master Wayfarer's Impregnability	"{""key"": 4865, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Apprentice Warlock's War Magic Aptitude	"{""key"": 4893, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Journeyman Warlock's War Magic Aptitude	"{""key"": 4894, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Novice Challenger's Rejuvenation	"{""key"": 4905, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Apprentice Challenger's Rejuvenation	"{""key"": 4906, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Apprentice Voidlock's Void Magic Aptitude	"{""key"": 5432, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Journeyman Voidlock's Void Magic Aptitude	"{""key"": 5433, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Novice Soldier's Shield Aptitude	"{""key"": 5958, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Apprentice Soldier's Shield Aptitude	"{""key"": 5959, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Journeyman Soldier's Shield Aptitude	"{""key"": 5960, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Master Soldier's Shield Aptitude	"{""key"": 5961, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Legendary Magic Resistance	"{""key"": 6063, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Bracers	Legendary Bludgeoning Ward	"{""key"": 6081, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Breastplate	Robustify	"{""key"": 2185, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Breastplate	Major Bludgeoning Ward	"{""key"": 2610, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Breastplate	Epic Impregnability	"{""key"": 4695, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Breastplate	Apprentice Negator's Magic Resistance	"{""key"": 4851, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Breastplate	Journeyman Negator's Magic Resistance	"{""key"": 4852, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Breastplate	Apprentice Guardian's Invulnerability	"{""key"": 4859, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Breastplate	Journeyman Guardian's Invulnerability	"{""key"": 4860, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Breastplate	Apprentice Wayfarer's Impregnability	"{""key"": 4863, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Breastplate	Journeyman Wayfarer's Impregnability	"{""key"": 4864, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Breastplate	Novice Challenger's Rejuvenation	"{""key"": 4905, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Breastplate	Apprentice Soldier's Shield Aptitude	"{""key"": 5959, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Breastplate	Journeyman Soldier's Shield Aptitude	"{""key"": 5960, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Breastplate	Legendary Storm Ward	"{""key"": 6079, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Gauntlets	Major Creature Enchantment Aptitude	"{""key"": 2507, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Gauntlets	Minor Life Magic Aptitude	"{""key"": 2555, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Gauntlets	Minor Willpower	"{""key"": 2584, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Gauntlets	Light Weapon Mastery Self III	"{""key"": 300, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Gauntlets	Finesse Weapon Mastery Self V	"{""key"": 326, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Gauntlets	Novice Sage's Focus	"{""key"": 4738, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Gauntlets	Novice Adherent's Willpower	"{""key"": 4750, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Gauntlets	Legendary Slashing Ward	"{""key"": 6085, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Gauntlets	Novice Invoker's Summoning Aptitude	"{""key"": 6142, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Girth	Major Missile Weapon Aptitude	"{""key"": 2505, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Girth	Apprentice Sage's Focus	"{""key"": 4739, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Girth	Journeyman Sage's Focus	"{""key"": 4740, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Girth	Apprentice Adherent's Willpower	"{""key"": 4751, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Girth	Journeyman Adherent's Willpower	"{""key"": 4752, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Girth	Apprentice Clairvoyant's Mana	"{""key"": 4756, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Girth	Legendary Strength	"{""key"": 6107, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Girth	Apprentice Invoker's Summoning Aptitude	"{""key"": 6143, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Girth	Journeyman Invoker's Summoning Aptitude	"{""key"": 6144, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Greaves	Major Bludgeoning Ward	"{""key"": 2610, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Greaves	Novice Sage's Focus	"{""key"": 4738, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Greaves	Novice Adherent's Willpower	"{""key"": 4750, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Greaves	Legendary Endurance	"{""key"": 6104, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Greaves	Incantation of Summoning Mastery Self	"{""key"": 6123, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Greaves	Novice Invoker's Summoning Aptitude	"{""key"": 6142, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Hauberk	Novice Soldier's Light Weapon Aptitude	"{""key"": 4796, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Hauberk	Novice Soldier's Heavy Weapon Aptitude	"{""key"": 4880, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Hauberk	Novice Soldier's Two Handed Combat Aptitude	"{""key"": 5107, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Hauberk	Novice Soldier's Dirty Fighting Aptitude	"{""key"": 5946, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Hauberk	Novice Soldier's Recklessness Aptitude	"{""key"": 5954, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Leggings	Strength Self VI	"{""key"": 1332, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Leggings	Major Sprint	"{""key"": 2529, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Leggings	Minor Light Weapon Aptitude	"{""key"": 2539, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Might of the Lugians	"{""key"": 2087, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Odif's Blessing	"{""key"": 2233, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Major Missile Weapon Aptitude	"{""key"": 2505, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Epic Endurance	"{""key"": 4226, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Incantation of Magic Resistance Self	"{""key"": 4596, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Novice Sage's Focus	"{""key"": 4738, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Novice Adherent's Willpower	"{""key"": 4750, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Novice Negator's Magic Resistance	"{""key"": 4850, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Apprentice Negator's Magic Resistance	"{""key"": 4851, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Journeyman Negator's Magic Resistance	"{""key"": 4852, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Master Negator's Magic Resistance	"{""key"": 4853, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Novice Guardian's Invulnerability	"{""key"": 4858, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Apprentice Guardian's Invulnerability	"{""key"": 4859, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Journeyman Guardian's Invulnerability	"{""key"": 4860, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Master Guardian's Invulnerability	"{""key"": 4861, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Novice Wayfarer's Impregnability	"{""key"": 4862, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Apprentice Wayfarer's Impregnability	"{""key"": 4863, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Journeyman Wayfarer's Impregnability	"{""key"": 4864, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Master Wayfarer's Impregnability	"{""key"": 4865, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Novice Challenger's Rejuvenation	"{""key"": 4905, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Apprentice Challenger's Rejuvenation	"{""key"": 4906, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Novice Soldier's Shield Aptitude	"{""key"": 5958, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Apprentice Soldier's Shield Aptitude	"{""key"": 5959, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Journeyman Soldier's Shield Aptitude	"{""key"": 5960, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Master Soldier's Shield Aptitude	"{""key"": 5961, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Legendary Flame Ward	"{""key"": 6082, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Legendary Piercing Ward	"{""key"": 6084, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Pauldrons	Novice Invoker's Summoning Aptitude	"{""key"": 6142, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Tassets	Might of the Lugians	"{""key"": 2087, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Tassets	Apprentice Sage's Focus	"{""key"": 4739, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Tassets	Apprentice Adherent's Willpower	"{""key"": 4751, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Tassets	Legendary Focus	"{""key"": 6105, ""value"": { ""casting_likelihood"": 2.02}}"
Scalemail Tassets	Apprentice Invoker's Summoning Aptitude	"{""key"": 6143, ""value"": { ""casting_likelihood"": 2.02}}"
Scarecrow Mask	Novice Negator's Magic Resistance	"{""key"": 4850, ""value"": { ""casting_likelihood"": 2.02}}"
Scarecrow Mask	Apprentice Negator's Magic Resistance	"{""key"": 4851, ""value"": { ""casting_likelihood"": 2.02}}"
Scarecrow Mask	Journeyman Negator's Magic Resistance	"{""key"": 4852, ""value"": { ""casting_likelihood"": 2.02}}"
Scarecrow Mask	Master Negator's Magic Resistance	"{""key"": 4853, ""value"": { ""casting_likelihood"": 2.02}}"
Scarecrow Mask	Novice Guardian's Invulnerability	"{""key"": 4858, ""value"": { ""casting_likelihood"": 2.02}}"
Scarecrow Mask	Apprentice Guardian's Invulnerability	"{""key"": 4859, ""value"": { ""casting_likelihood"": 2.02}}"
Scarecrow Mask	Journeyman Guardian's Invulnerability	"{""key"": 4860, ""value"": { ""casting_likelihood"": 2.02}}"
Scarecrow Mask	Master Guardian's Invulnerability	"{""key"": 4861, ""value"": { ""casting_likelihood"": 2.02}}"
Scarecrow Mask	Novice Wayfarer's Impregnability	"{""key"": 4862, ""value"": { ""casting_likelihood"": 2.02}}"
Scarecrow Mask	Apprentice Wayfarer's Impregnability	"{""key"": 4863, ""value"": { ""casting_likelihood"": 2.02}}"
Scarecrow Mask	Journeyman Wayfarer's Impregnability	"{""key"": 4864, ""value"": { ""casting_likelihood"": 2.02}}"
Scarecrow Mask	Master Wayfarer's Impregnability	"{""key"": 4865, ""value"": { ""casting_likelihood"": 2.02}}"
Scarecrow Mask	Novice Challenger's Rejuvenation	"{""key"": 4905, ""value"": { ""casting_likelihood"": 2.02}}"
Scarecrow Mask	Apprentice Challenger's Rejuvenation	"{""key"": 4906, ""value"": { ""casting_likelihood"": 2.02}}"
Scarecrow Mask	Novice Soldier's Shield Aptitude	"{""key"": 5958, ""value"": { ""casting_likelihood"": 2.02}}"
Scarecrow Mask	Apprentice Soldier's Shield Aptitude	"{""key"": 5959, ""value"": { ""casting_likelihood"": 2.02}}"
Scarecrow Mask	Journeyman Soldier's Shield Aptitude	"{""key"": 5960, ""value"": { ""casting_likelihood"": 2.02}}"
Scarecrow Mask	Master Soldier's Shield Aptitude	"{""key"": 5961, ""value"": { ""casting_likelihood"": 2.02}}"
Scathisa	Lightning Volley V	"{""key"": 141, ""value"": { ""casting_likelihood"": 2.02}}"
Scathisa	Vulnerability Other IV	"{""key"": 232, ""value"": { ""casting_likelihood"": 2.02}}"
Scepter of the Portal Currents	Inner Calm	"{""key"": 2067, ""value"": { ""casting_likelihood"": 2.02}}"
Scepter of the Portal Currents	Mind Blossom	"{""key"": 2091, ""value"": { ""casting_likelihood"": 2.02}}"
Scepter of the Portal Currents	Celcynd's Blessing	"{""key"": 2249, ""value"": { ""casting_likelihood"": 2.02}}"
Scepter of the Portal Currents	Major Item Enchantment Aptitude	"{""key"": 2516, ""value"": { ""casting_likelihood"": 2.02}}"
Scepter of the Portal Currents	Major Magic Resistance	"{""key"": 2524, ""value"": { ""casting_likelihood"": 2.02}}"
Scepter of the Portal Currents	Major Focus	"{""key"": 2574, ""value"": { ""casting_likelihood"": 2.02}}"
Scepter of the Portal Currents	Minor Willpower	"{""key"": 2584, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Willpower Self VI	"{""key"": 1450, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Aura of Hermetic Link Self I	"{""key"": 1475, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Aura of Hermetic Link Self V	"{""key"": 1479, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Aura of Hermetic Link Self VI	"{""key"": 1480, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Aura of Defender Self I	"{""key"": 1599, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Aura of Defender Self VI	"{""key"": 1605, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Inner Calm	"{""key"": 2067, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Mind Blossom	"{""key"": 2091, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Aura of Cragstone's Will	"{""key"": 2101, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Aura of Mystic's Blessing	"{""key"": 2117, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Aliester's Blessing	"{""key"": 2195, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Hieromancer's Blessing	"{""key"": 2323, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Major Magic Item Tinkering Expertise	"{""key"": 2523, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Minor Invulnerability	"{""key"": 2550, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Minor Weapon Tinkering Expertise	"{""key"": 2570, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Minor Armor	"{""key"": 2578, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Minor Coordination	"{""key"": 2579, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Aura of Spirit Drinker Self VI	"{""key"": 3258, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Aura of Infected Spirit Caress	"{""key"": 3259, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Epic Focus	"{""key"": 3964, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Aura of Incantation of Hermetic Link Self	"{""key"": 4418, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Creature Enchantment Mastery Self I	"{""key"": 557, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Item Enchantment Mastery Self V	"{""key"": 585, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Item Enchantment Mastery Self VI	"{""key"": 586, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Life Magic Mastery Self I	"{""key"": 605, ""value"": { ""casting_likelihood"": 2.02}}"
Sceptre	Life Magic Mastery Self VI	"{""key"": 610, ""value"": { ""casting_likelihood"": 2.02}}"
Schism	Disintegration	"{""key"": 2122, ""value"": { ""casting_likelihood"": 2.02}}"
Schism	Acid Arc VII	"{""key"": 2717, ""value"": { ""casting_likelihood"": 2.02}}"
Schlager	Aura of Swift Killer Self VI	"{""key"": 1627, ""value"": { ""casting_likelihood"": 2.02}}"
Schlager	Aura of Infected Caress	"{""key"": 2096, ""value"": { ""casting_likelihood"": 2.02}}"
Schlager	Minor Lockpick Prowess	"{""key"": 2556, ""value"": { ""casting_likelihood"": 2.02}}"
Schlager	Minor Endurance	"{""key"": 2580, ""value"": { ""casting_likelihood"": 2.02}}"
Schlager	Dirty Fighting Mastery Self VII	"{""key"": 5785, ""value"": { ""casting_likelihood"": 2.02}}"
Scimitar	Coordination Self VI	"{""key"": 1378, ""value"": { ""casting_likelihood"": 2.02}}"
Scimitar	Aura of Infected Caress	"{""key"": 2096, ""value"": { ""casting_likelihood"": 2.02}}"
Scimitar	Major Alchemical Prowess	"{""key"": 2501, ""value"": { ""casting_likelihood"": 2.02}}"
Scimitar	Major Item Tinkering Expertise	"{""key"": 2517, ""value"": { ""casting_likelihood"": 2.02}}"
Scintilla	Lightning Vulnerability Other III	"{""key"": 1086, ""value"": { ""casting_likelihood"": 2.02}}"
Scintilla	Imperil Other III	"{""key"": 1324, ""value"": { ""casting_likelihood"": 2.02}}"
Scintilla	Vulnerability Other III	"{""key"": 231, ""value"": { ""casting_likelihood"": 2.02}}"
Scintilla	Lightning Bolt IV	"{""key"": 78, ""value"": { ""casting_likelihood"": 2.02}}"
Sclavus Acolyte of T'thuun	Enervation	"{""key"": 2176, ""value"": { ""casting_likelihood"": 2.02}}"
Sclavus Acolyte of T'thuun	Incantation of Acid Stream	"{""key"": 4433, ""value"": { ""casting_likelihood"": 2.02}}"
Sclavus Acolyte of T'thuun	Incantation of Flame Bolt	"{""key"": 4439, ""value"": { ""casting_likelihood"": 2.02}}"
Sclavus Acolyte of T'thuun	Incantation of Lightning Bolt	"{""key"": 4451, ""value"": { ""casting_likelihood"": 2.02}}"
Sclavus Acolyte of T'thuun	Incantation of Lightning Volley	"{""key"": 4453, ""value"": { ""casting_likelihood"": 2.02}}"
Sclavus Acolyte of T'thuun	Incantation of Exhaustion Other	"{""key"": 4487, ""value"": { ""casting_likelihood"": 2.02}}"
Sclavus Attacker	Alset's Coil	"{""key"": 2140, ""value"": { ""casting_likelihood"": 2.02}}"
Sclavus Attacker	Tempest	"{""key"": 2142, ""value"": { ""casting_likelihood"": 2.02}}"
Sclavus Ritualist	Lightning Volley VI	"{""key"": 142, ""value"": { ""casting_likelihood"": 2.02}}"
Sclavus Ritualist	Exhaustion Other VI	"{""key"": 199, ""value"": { ""casting_likelihood"": 2.02}}"
Sclavus Ritualist	Acid Stream VI	"{""key"": 63, ""value"": { ""casting_likelihood"": 2.02}}"
Sclavus Ritualist	Lightning Bolt VI	"{""key"": 80, ""value"": { ""casting_likelihood"": 2.02}}"
Sclavus Ritualist	Flame Bolt VI	"{""key"": 85, ""value"": { ""casting_likelihood"": 2.02}}"
Scoriscant	Lightning Vulnerability Other V	"{""key"": 1088, ""value"": { ""casting_likelihood"": 2.02}}"
Scoriscant	Acid Vulnerability Other V	"{""key"": 525, ""value"": { ""casting_likelihood"": 2.02}}"
Scourge	Defenselessness Other II	"{""key"": 263, ""value"": { ""casting_likelihood"": 2.02}}"
Scrawed Grievver	Weakness Other II	"{""key"": 1339, ""value"": { ""casting_likelihood"": 2.02}}"
Scrawed Grievver	Weakness Other III	"{""key"": 1340, ""value"": { ""casting_likelihood"": 2.02}}"
Scrawed Grievver	Frailty Other II	"{""key"": 1368, ""value"": { ""casting_likelihood"": 2.02}}"
Scrawed Grievver	Clumsiness Other II	"{""key"": 1392, ""value"": { ""casting_likelihood"": 2.02}}"
Scrawed Grievver	Clumsiness Other III	"{""key"": 1393, ""value"": { ""casting_likelihood"": 2.02}}"
Scrawed Grievver	Slowness Other II	"{""key"": 1416, ""value"": { ""casting_likelihood"": 2.02}}"
Scrawed Grievver	Bafflement Other II	"{""key"": 1440, ""value"": { ""casting_likelihood"": 2.02}}"
Scrawed Grievver	Feeblemind Other II	"{""key"": 1464, ""value"": { ""casting_likelihood"": 2.02}}"
Scrawed Grievver	Feeblemind Other III	"{""key"": 1465, ""value"": { ""casting_likelihood"": 2.02}}"
Scrawed Grievver	Acid Stream IV	"{""key"": 61, ""value"": { ""casting_likelihood"": 2.02}}"
Scrawed Grievver	Lightning Bolt IV	"{""key"": 78, ""value"": { ""casting_likelihood"": 2.02}}"
Se Sclavus	Acid Stream II	"{""key"": 59, ""value"": { ""casting_likelihood"": 2.02}}"
Se Sclavus	Frost Bolt II	"{""key"": 70, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Baton	Aura of Defender Self VI	"{""key"": 1605, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Baton	Minor Mana Conversion Prowess	"{""key"": 2560, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Baton	Minor War Magic Aptitude	"{""key"": 2569, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Baton	Aura of Spirit Drinker Self VI	"{""key"": 3258, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Baton	Mana Conversion Mastery Other VI	"{""key"": 664, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Bracelet Of Coordination	Coordination Other VI	"{""key"": 1384, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Bracelet Of Coordination	Minor Coordination	"{""key"": 2579, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Compound Bow	Aura of Defender Self VI	"{""key"": 1605, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Compound Bow	Aura of Blood Drinker Self VI	"{""key"": 1616, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Compound Bow	Aura of Swift Killer Self VI	"{""key"": 1627, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Compound Bow	Minor Missile Weapon Aptitude	"{""key"": 2540, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Compound Bow	Minor Fletching Prowess	"{""key"": 2547, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Greataxe	Aura of Heart Seeker Self VI	"{""key"": 1592, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Greataxe	Aura of Defender Self VI	"{""key"": 1605, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Greataxe	Aura of Blood Drinker Self VI	"{""key"": 1616, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Greataxe	Aura of Swift Killer Self VI	"{""key"": 1627, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Greataxe	Minor Two Handed Combat Aptitude	"{""key"": 5072, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Trident	Aura of Heart Seeker Self VI	"{""key"": 1592, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Trident	Aura of Defender Self VI	"{""key"": 1605, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Trident	Aura of Blood Drinker Self VI	"{""key"": 1616, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Trident	Aura of Swift Killer Self VI	"{""key"": 1627, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Trident	Minor Heavy Weapon Aptitude	"{""key"": 2566, ""value"": { ""casting_likelihood"": 2.02}}"
Seasoned Explorer Trident	Minor Dual Wield Aptitude	"{""key"": 5884, ""value"": { ""casting_likelihood"": 2.02}}"
Sedgemail Leather Cowl	Jibril's Blessing	"{""key"": 2197, ""value"": { ""casting_likelihood"": 2.02}}"
Sedgemail Leather Cowl	Journeyman Duelist's Coordination	"{""key"": 4732, ""value"": { ""casting_likelihood"": 2.02}}"
Sedgemail Leather Cowl	Master Duelist's Coordination	"{""key"": 4733, ""value"": { ""casting_likelihood"": 2.02}}"
Sedgemail Leather Cowl	Journeyman Rover's Quickness	"{""key"": 4744, ""value"": { ""casting_likelihood"": 2.02}}"
Sedgemail Leather Cowl	Master Rover's Quickness	"{""key"": 4745, ""value"": { ""casting_likelihood"": 2.02}}"
Sedgemail Leather Cowl	Apprentice Tracker's Stamina	"{""key"": 4758, ""value"": { ""casting_likelihood"": 2.02}}"
Sedgemail Leather Cowl	Journeyman Tracker's Stamina	"{""key"": 4759, ""value"": { ""casting_likelihood"": 2.02}}"
Sedgemail Leather Cowl	Novice Enchanter's Creature Aptitude	"{""key"": 4808, ""value"": { ""casting_likelihood"": 2.02}}"
Sedgemail Leather Cowl	Novice Artifex's Item Aptitude	"{""key"": 4824, ""value"": { ""casting_likelihood"": 2.02}}"
Sedgemail Leather Cowl	Novice Theurge's Life Magic Aptitude	"{""key"": 4836, ""value"": { ""casting_likelihood"": 2.02}}"
Sedgemail Leather Cowl	Novice Warlock's War Magic Aptitude	"{""key"": 4892, ""value"": { ""casting_likelihood"": 2.02}}"
Sedgemail Leather Cowl	Novice Shadow's Void Magic Aptitude	"{""key"": 5431, ""value"": { ""casting_likelihood"": 2.02}}"
Sedgemail Leather Cowl	Legendary Missile Weapon Aptitude	"{""key"": 6044, ""value"": { ""casting_likelihood"": 2.02}}"
Sedgemail Leather Cowl	Armor Tinkering Expertise Self VI	"{""key"": 707, ""value"": { ""casting_likelihood"": 2.02}}"
